component	mask	singular_value	variance_explained	cumulative_variance_explained	retained
c_comp_cor_00	CSF	248.5601298844	0.0790052918	0.0790052918	True
c_comp_cor_01	CSF	223.738415088	0.064013911	0.1430192028	True
c_comp_cor_02	CSF	201.5419125466	0.0519426375	0.1949618402	True
c_comp_cor_03	CSF	170.2101465462	0.0370479463	0.2320097865	True
c_comp_cor_04	CSF	145.0896854724	0.0269194589	0.2589292454	True
c_comp_cor_05	CSF	143.5648918561	0.0263566217	0.2852858671	True
c_comp_cor_06	CSF	122.0515983964	0.0190493512	0.3043352183	True
c_comp_cor_07	CSF	118.7148859349	0.0180220258	0.3223572441	True
c_comp_cor_08	CSF	110.3358244832	0.0155677675	0.3379250116	True
c_comp_cor_09	CSF	102.9856091675	0.0135627055	0.351487717	True
c_comp_cor_10	CSF	98.3940777067	0.0123802999	0.363868017	True
c_comp_cor_11	CSF	91.7730904708	0.0107702048	0.3746382217	True
c_comp_cor_12	CSF	89.5999336768	0.0102661741	0.3849043958	True
c_comp_cor_13	CSF	88.6926714563	0.0100593222	0.394963718	True
c_comp_cor_14	CSF	82.5463793143	0.0087134332	0.4036771512	True
c_comp_cor_15	CSF	78.1323798788	0.0078064818	0.411483633	True
c_comp_cor_16	CSF	76.9327559731	0.0075686048	0.4190522378	True
c_comp_cor_17	CSF	74.187694153	0.0070381253	0.4260903631	True
c_comp_cor_18	CSF	72.5909637447	0.0067384246	0.4328287876	True
c_comp_cor_19	CSF	71.7010958523	0.0065742291	0.4394030167	True
c_comp_cor_20	CSF	68.3924037585	0.0059814845	0.4453845012	True
c_comp_cor_21	CSF	66.7841364192	0.0057034794	0.4510879806	True
c_comp_cor_22	CSF	66.1310154983	0.0055924696	0.4566804502	True
c_comp_cor_23	CSF	64.7959404483	0.0053689436	0.4620493938	True
c_comp_cor_24	CSF	63.4350597524	0.0051457888	0.4671951826	True
c_comp_cor_25	CSF	62.3891624415	0.0049775033	0.4721726859	True
c_comp_cor_26	CSF	61.2907335198	0.0048037775	0.4769764634	True
c_comp_cor_27	CSF	60.3797697148	0.0046620417	0.4816385051	True
c_comp_cor_28	CSF	59.10328248	0.0044670051	0.4861055102	True
c_comp_cor_29	CSF	58.9260280437	0.0044402516	0.4905457618	True
c_comp_cor_30	CSF	57.4182950095	0.0042159343	0.4947616961	True
c_comp_cor_31	CSF	56.8598199728	0.0041343211	0.4988960172	True
c_comp_cor_32	CSF	56.0312879569	0.0040147126	0.5029107298	True
w_comp_cor_00	WM	336.19028477	0.0190532548	0.0190532548	True
w_comp_cor_01	WM	262.1787358855	0.0115876078	0.0306408626	True
w_comp_cor_02	WM	225.1543708806	0.0085459357	0.0391867984	True
w_comp_cor_03	WM	212.4934442627	0.0076118449	0.0467986432	True
w_comp_cor_04	WM	188.956178048	0.0060189544	0.0528175976	True
w_comp_cor_05	WM	178.5218373352	0.0053725635	0.058190161	True
w_comp_cor_06	WM	161.3402137415	0.0043881768	0.0625783378	True
w_comp_cor_07	WM	153.3013593383	0.0039617847	0.0665401225	True
w_comp_cor_08	WM	147.4992754184	0.0036675719	0.0702076944	True
w_comp_cor_09	WM	145.9780843801	0.0035923131	0.0738000074	True
w_comp_cor_10	WM	143.6929485191	0.0034807255	0.0772807329	True
w_comp_cor_11	WM	136.550976302	0.0031433191	0.080424052	True
w_comp_cor_12	WM	130.5616883199	0.0028736268	0.0832976789	True
w_comp_cor_13	WM	126.8945334313	0.0027144677	0.0860121466	True
w_comp_cor_14	WM	125.0524163179	0.0026362284	0.088648375	True
w_comp_cor_15	WM	124.0736343781	0.0025951225	0.0912434975	True
w_comp_cor_16	WM	120.8307525745	0.0024612392	0.0937047367	True
w_comp_cor_17	WM	116.8453941994	0.0023015587	0.0960062954	True
w_comp_cor_18	WM	114.0424006353	0.0021924594	0.0981987548	True
w_comp_cor_19	WM	110.7034510102	0.0020659565	0.1002647113	True
w_comp_cor_20	WM	110.0404376252	0.0020412842	0.1023059955	True
w_comp_cor_21	WM	109.3360141181	0.0020152333	0.1043212288	True
w_comp_cor_22	WM	107.8535719928	0.0019609563	0.1062821851	True
w_comp_cor_23	WM	107.1632997924	0.0019359361	0.1082181212	True
w_comp_cor_24	WM	105.7285136596	0.0018844435	0.1101025647	True
w_comp_cor_25	WM	105.1730202782	0.0018646939	0.1119672586	True
w_comp_cor_26	WM	103.9893074127	0.0018229562	0.1137902148	True
w_comp_cor_27	WM	103.1892090906	0.0017950123	0.115585227	True
w_comp_cor_28	WM	102.528364245	0.0017720947	0.1173573217	True
w_comp_cor_29	WM	100.9198248605	0.001716927	0.1190742487	True
w_comp_cor_30	WM	100.4747994989	0.0017018182	0.1207760669	True
w_comp_cor_31	WM	100.0069773514	0.0016860073	0.1224620742	True
w_comp_cor_32	WM	99.3609352127	0.0016642946	0.1241263688	True
w_comp_cor_33	WM	98.4438824467	0.0016337151	0.1257600839	True
w_comp_cor_34	WM	98.1881745221	0.001625239	0.1273853229	True
w_comp_cor_35	WM	97.7327924669	0.0016101987	0.1289955216	True
w_comp_cor_36	WM	97.1817824327	0.0015920935	0.1305876151	True
w_comp_cor_37	WM	96.9492300934	0.001584483	0.1321720981	True
w_comp_cor_38	WM	96.5454988003	0.0015713138	0.1337434119	True
w_comp_cor_39	WM	96.2461422754	0.0015615846	0.1353049965	True
w_comp_cor_40	WM	95.7902207669	0.0015468251	0.1368518216	True
w_comp_cor_41	WM	95.6492185875	0.0015422746	0.1383940962	True
w_comp_cor_42	WM	95.2169187329	0.0015283651	0.1399224613	True
w_comp_cor_43	WM	94.6640548403	0.0015106681	0.1414331294	True
w_comp_cor_44	WM	94.5106703379	0.0015057766	0.142938906	True
w_comp_cor_45	WM	94.4089527357	0.0015025371	0.1444414431	True
w_comp_cor_46	WM	94.3323504509	0.0015000999	0.145941543	True
w_comp_cor_47	WM	93.9402362487	0.0014876548	0.1474291978	True
w_comp_cor_48	WM	93.5285372662	0.0014746438	0.1489038416	True
w_comp_cor_49	WM	93.2999564691	0.0014674447	0.1503712863	True
w_comp_cor_50	WM	93.1542011049	0.0014628633	0.1518341496	True
w_comp_cor_51	WM	93.1011212842	0.0014611967	0.1532953463	True
w_comp_cor_52	WM	92.8217246073	0.0014524397	0.154747786	True
w_comp_cor_53	WM	92.7968381323	0.001451661	0.1561994471	True
w_comp_cor_54	WM	92.532552654	0.0014434041	0.1576428512	True
w_comp_cor_55	WM	92.3802747096	0.0014386573	0.1590815085	True
w_comp_cor_56	WM	92.2208326257	0.0014336955	0.160515204	True
w_comp_cor_57	WM	92.104657662	0.0014300856	0.1619452897	True
w_comp_cor_58	WM	91.9383997742	0.0014249274	0.1633702171	True
w_comp_cor_59	WM	91.8046097911	0.0014207833	0.1647910003	True
w_comp_cor_60	WM	91.6083733905	0.0014147158	0.1662057161	True
w_comp_cor_61	WM	91.5150075901	0.0014118335	0.1676175497	True
w_comp_cor_62	WM	91.4105886394	0.0014086136	0.1690261633	True
w_comp_cor_63	WM	91.2859425918	0.0014047747	0.1704309379	True
w_comp_cor_64	WM	90.9645766667	0.0013949012	0.1718258392	True
w_comp_cor_65	WM	90.8203690365	0.001390482	0.1732163212	True
w_comp_cor_66	WM	90.6628088703	0.0013856617	0.1746019829	True
w_comp_cor_67	WM	90.5661489	0.0013827086	0.1759846914	True
w_comp_cor_68	WM	90.5059415874	0.0013808708	0.1773655622	True
w_comp_cor_69	WM	90.4631481298	0.0013795653	0.1787451275	True
w_comp_cor_70	WM	90.3317328758	0.00137556	0.1801206875	True
w_comp_cor_71	WM	90.2087676948	0.0013718176	0.1814925051	True
w_comp_cor_72	WM	90.0046637691	0.0013656169	0.182858122	True
w_comp_cor_73	WM	89.8762435953	0.0013617227	0.1842198447	True
w_comp_cor_74	WM	89.7699980846	0.0013585052	0.1855783498	True
w_comp_cor_75	WM	89.7345092122	0.0013574312	0.1869357811	True
w_comp_cor_76	WM	89.6973005537	0.0013563058	0.1882920868	True
w_comp_cor_77	WM	89.6166058137	0.0013538665	0.1896459533	True
w_comp_cor_78	WM	89.5379816856	0.0013514919	0.1909974453	True
w_comp_cor_79	WM	89.3424356204	0.0013455952	0.1923430405	True
w_comp_cor_80	WM	89.2848111423	0.00134386	0.1936869005	True
w_comp_cor_81	WM	89.1328414381	0.0013392892	0.1950261897	True
w_comp_cor_82	WM	88.9990718494	0.0013352722	0.1963614619	True
w_comp_cor_83	WM	88.9559861062	0.0013339797	0.1976954416	True
w_comp_cor_84	WM	88.7883125044	0.0013289556	0.1990243971	True
w_comp_cor_85	WM	88.720334755	0.0013269214	0.2003513185	True
w_comp_cor_86	WM	88.6126443266	0.0013237021	0.2016750206	True
w_comp_cor_87	WM	88.5795665294	0.001322714	0.2029977346	True
w_comp_cor_88	WM	88.5127423241	0.0013207191	0.2043184537	True
w_comp_cor_89	WM	88.347078372	0.0013157799	0.2056342336	True
w_comp_cor_90	WM	88.1850309998	0.0013109575	0.2069451911	True
w_comp_cor_91	WM	88.145012554	0.0013097679	0.208254959	True
w_comp_cor_92	WM	88.0721138737	0.0013076024	0.2095625613	True
w_comp_cor_93	WM	87.9932195443	0.0013052607	0.2108678221	True
w_comp_cor_94	WM	87.9003825817	0.001302508	0.21217033	True
w_comp_cor_95	WM	87.8287610153	0.0013003863	0.2134707163	True
w_comp_cor_96	WM	87.7377534408	0.0012976927	0.214768409	True
w_comp_cor_97	WM	87.5492328509	0.0012921221	0.2160605311	True
w_comp_cor_98	WM	87.4848310047	0.0012902218	0.2173507529	True
w_comp_cor_99	WM	87.4017000394	0.0012877709	0.2186385238	True
w_comp_cor_100	WM	87.2994773286	0.0012847604	0.2199232843	True
w_comp_cor_101	WM	87.2607440906	0.0012836206	0.2212069049	True
w_comp_cor_102	WM	87.1453701465	0.0012802285	0.2224871334	True
w_comp_cor_103	WM	87.0637009357	0.0012778301	0.2237649635	True
w_comp_cor_104	WM	86.9450301754	0.001274349	0.2250393125	True
w_comp_cor_105	WM	86.8403258723	0.0012712816	0.226310594	True
w_comp_cor_106	WM	86.717138175	0.0012676774	0.2275782714	True
w_comp_cor_107	WM	86.6879612947	0.0012668244	0.2288450958	True
w_comp_cor_108	WM	86.6021274838	0.001264317	0.2301094128	True
w_comp_cor_109	WM	86.5151123529	0.0012617776	0.2313711904	True
w_comp_cor_110	WM	86.3669994406	0.001257461	0.2326286514	True
w_comp_cor_111	WM	86.3635392616	0.0012573602	0.2338860116	True
w_comp_cor_112	WM	86.2858240326	0.0012550984	0.23514111	True
w_comp_cor_113	WM	86.2482977879	0.0012540069	0.2363951169	True
w_comp_cor_114	WM	86.0965853408	0.0012495991	0.237644716	True
w_comp_cor_115	WM	86.0502771052	0.0012482553	0.2388929713	True
w_comp_cor_116	WM	85.9277728186	0.0012447037	0.2401376749	True
w_comp_cor_117	WM	85.8984873887	0.0012438554	0.2413815303	True
w_comp_cor_118	WM	85.6847013864	0.0012376716	0.2426192019	True
w_comp_cor_119	WM	85.65504022	0.0012368149	0.2438560168	True
w_comp_cor_120	WM	85.5970602251	0.0012351411	0.2450911579	True
w_comp_cor_121	WM	85.5703560008	0.0012343705	0.2463255284	True
w_comp_cor_122	WM	85.4530126894	0.0012309874	0.2475565158	True
w_comp_cor_123	WM	85.3563864616	0.0012282051	0.2487847209	True
w_comp_cor_124	WM	85.2564475387	0.0012253307	0.2500100516	True
w_comp_cor_125	WM	85.2321236464	0.0012246316	0.2512346833	True
w_comp_cor_126	WM	85.1462033859	0.0012221638	0.2524568471	True
w_comp_cor_127	WM	85.0729648256	0.0012200623	0.2536769094	True
w_comp_cor_128	WM	84.9806095523	0.0012174147	0.2548943241	True
w_comp_cor_129	WM	84.8703731629	0.0012142583	0.2561085824	True
w_comp_cor_130	WM	84.8306152989	0.0012131209	0.2573217033	True
w_comp_cor_131	WM	84.6860322623	0.0012089892	0.2585306925	True
w_comp_cor_132	WM	84.6329219466	0.0012074733	0.2597381658	True
w_comp_cor_133	WM	84.614290698	0.0012069417	0.2609451075	True
w_comp_cor_134	WM	84.4410271549	0.0012020039	0.2621471114	True
w_comp_cor_135	WM	84.387175069	0.0012004712	0.2633475826	True
w_comp_cor_136	WM	84.326910164	0.0011987572	0.2645463398	True
w_comp_cor_137	WM	84.2265401441	0.0011959053	0.2657422451	True
w_comp_cor_138	WM	84.1734788129	0.0011943989	0.266936644	True
w_comp_cor_139	WM	84.1469210904	0.0011936454	0.2681302894	True
w_comp_cor_140	WM	84.0457273959	0.0011907762	0.2693210656	True
w_comp_cor_141	WM	83.9280941139	0.0011874452	0.2705085108	True
w_comp_cor_142	WM	83.8765251231	0.0011859864	0.2716944972	True
w_comp_cor_143	WM	83.8038256611	0.0011839314	0.2728784286	True
w_comp_cor_144	WM	83.7765557923	0.001183161	0.2740615897	True
w_comp_cor_145	WM	83.6733203322	0.0011802469	0.2752418366	True
w_comp_cor_146	WM	83.5957615993	0.0011780599	0.2764198965	True
w_comp_cor_147	WM	83.5129523074	0.0011757271	0.2775956236	True
w_comp_cor_148	WM	83.4671279991	0.0011744372	0.2787700608	True
w_comp_cor_149	WM	83.4078104185	0.0011727685	0.2799428293	True
w_comp_cor_150	WM	83.39175763	0.0011723171	0.2811151464	True
w_comp_cor_151	WM	83.2467053118	0.0011682424	0.2822833888	True
w_comp_cor_152	WM	83.221185234	0.0011675262	0.2834509151	True
w_comp_cor_153	WM	83.1499252059	0.0011655277	0.2846164427	True
w_comp_cor_154	WM	83.0400552945	0.0011624496	0.2857788923	True
w_comp_cor_155	WM	82.9464713187	0.0011598309	0.2869387232	True
w_comp_cor_156	WM	82.8907294184	0.0011582726	0.2880969958	True
w_comp_cor_157	WM	82.7806030032	0.0011551969	0.2892521928	True
w_comp_cor_158	WM	82.71547396	0.0011533799	0.2904055727	True
w_comp_cor_159	WM	82.6802671667	0.0011523983	0.291557971	True
w_comp_cor_160	WM	82.6175278093	0.00115065	0.292708621	True
w_comp_cor_161	WM	82.5623346615	0.0011491131	0.2938577341	True
w_comp_cor_162	WM	82.532847173	0.0011482925	0.2950060266	True
w_comp_cor_163	WM	82.4936638055	0.0011472024	0.2961532289	True
w_comp_cor_164	WM	82.3820737325	0.0011441008	0.2972973298	True
w_comp_cor_165	WM	82.3134035501	0.0011421943	0.298439524	True
w_comp_cor_166	WM	82.2636473317	0.0011408138	0.2995803379	True
w_comp_cor_167	WM	82.2014717796	0.00113909	0.3007194279	True
w_comp_cor_168	WM	82.1275220896	0.0011370415	0.3018564693	True
w_comp_cor_169	WM	82.0438970376	0.0011347271	0.3029911964	True
w_comp_cor_170	WM	81.9749107893	0.0011328196	0.304124016	True
w_comp_cor_171	WM	81.9264996504	0.001131482	0.3052554981	True
w_comp_cor_172	WM	81.8600162659	0.0011296464	0.3063851444	True
w_comp_cor_173	WM	81.7966147228	0.0011278972	0.3075130416	True
w_comp_cor_174	WM	81.7443974251	0.0011264576	0.3086394992	True
w_comp_cor_175	WM	81.607250182	0.0011226809	0.3097621802	True
w_comp_cor_176	WM	81.5824195102	0.0011219978	0.310884178	True
w_comp_cor_177	WM	81.5294059144	0.0011205401	0.3120047181	True
w_comp_cor_178	WM	81.4935859272	0.0011195557	0.3131242739	True
w_comp_cor_179	WM	81.418531042	0.0011174945	0.3142417683	True
w_comp_cor_180	WM	81.3812024673	0.00111647	0.3153582383	True
w_comp_cor_181	WM	81.2776014022	0.0011136292	0.3164718675	True
w_comp_cor_182	WM	81.2669535945	0.0011133374	0.317585205	True
w_comp_cor_183	WM	81.1584451983	0.0011103664	0.3186955714	True
w_comp_cor_184	WM	81.0933170159	0.001108585	0.3198041563	True
w_comp_cor_185	WM	81.0292769297	0.0011068347	0.3209109911	True
w_comp_cor_186	WM	80.9665180456	0.0011051209	0.3220161119	True
w_comp_cor_187	WM	80.8705401913	0.0011025024	0.3231186144	True
w_comp_cor_188	WM	80.8180869311	0.0011010727	0.324219687	True
w_comp_cor_189	WM	80.7897123028	0.0011002997	0.3253199867	True
w_comp_cor_190	WM	80.6634808371	0.001096864	0.3264168507	True
w_comp_cor_191	WM	80.6568517905	0.0010966837	0.3275135344	True
w_comp_cor_192	WM	80.6049743238	0.0010952734	0.3286088078	True
w_comp_cor_193	WM	80.5434773249	0.0010936028	0.3297024106	True
w_comp_cor_194	WM	80.4286654864	0.0010904872	0.3307928978	True
w_comp_cor_195	WM	80.3302878282	0.0010878212	0.331880719	True
w_comp_cor_196	WM	80.3237383909	0.0010876438	0.3329683628	True
w_comp_cor_197	WM	80.2793402532	0.0010864418	0.3340548045	True
w_comp_cor_198	WM	80.2049921591	0.0010844303	0.3351392349	True
w_comp_cor_199	WM	80.0746554795	0.0010809087	0.3362201436	True
w_comp_cor_200	WM	80.040102231	0.0010799761	0.3373001196	True
w_comp_cor_201	WM	80.0059497645	0.0010790546	0.3383791742	True
w_comp_cor_202	WM	79.9545568479	0.0010776688	0.339456843	True
w_comp_cor_203	WM	79.8963801675	0.0010761011	0.3405329441	True
w_comp_cor_204	WM	79.8492521539	0.0010748319	0.341607776	True
w_comp_cor_205	WM	79.7717295656	0.0010727459	0.342680522	True
w_comp_cor_206	WM	79.7444045501	0.0010720111	0.3437525331	True
w_comp_cor_207	WM	79.6095281069	0.0010683879	0.344820921	True
w_comp_cor_208	WM	79.5451483946	0.0010666606	0.3458875816	True
w_comp_cor_209	WM	79.522504825	0.0010660534	0.346953635	True
w_comp_cor_210	WM	79.4109453666	0.0010630644	0.3480166994	True
w_comp_cor_211	WM	79.3597516659	0.0010616942	0.3490783936	True
w_comp_cor_212	WM	79.3331631936	0.0010609829	0.3501393766	True
w_comp_cor_213	WM	79.2318959312	0.001058276	0.3511976526	True
w_comp_cor_214	WM	79.1628503611	0.0010564324	0.352254085	True
w_comp_cor_215	WM	79.1363207809	0.0010557244	0.3533098094	True
w_comp_cor_216	WM	79.0598767853	0.0010536858	0.3543634952	True
w_comp_cor_217	WM	79.0018726967	0.0010521402	0.3554156354	True
w_comp_cor_218	WM	78.9286821291	0.0010501916	0.3564658271	True
w_comp_cor_219	WM	78.8507194174	0.001048118	0.3575139451	True
w_comp_cor_220	WM	78.835576652	0.0010477155	0.3585616605	True
w_comp_cor_221	WM	78.7589907387	0.0010456808	0.3596073414	True
w_comp_cor_222	WM	78.704561562	0.001044236	0.3606515774	True
w_comp_cor_223	WM	78.6570020999	0.0010429744	0.3616945517	True
w_comp_cor_224	WM	78.5654813942	0.0010405487	0.3627351004	True
w_comp_cor_225	WM	78.5028538754	0.0010388904	0.3637739909	True
w_comp_cor_226	WM	78.4024210766	0.0010362339	0.3648102248	True
w_comp_cor_227	WM	78.3807488802	0.0010356611	0.3658458859	True
w_comp_cor_228	WM	78.3550114534	0.0010349811	0.366880867	True
w_comp_cor_229	WM	78.3289302706	0.0010342922	0.3679151592	True
w_comp_cor_230	WM	78.2471830398	0.0010321345	0.3689472937	True
w_comp_cor_231	WM	78.188098788	0.0010305763	0.36997787	True
w_comp_cor_232	WM	78.1634302998	0.0010299261	0.3710077961	True
w_comp_cor_233	WM	78.1514732908	0.0010296111	0.3720374072	True
w_comp_cor_234	WM	78.0429276477	0.001026753	0.3730641602	True
w_comp_cor_235	WM	78.0188318895	0.001026119	0.3740902792	True
w_comp_cor_236	WM	77.9549774407	0.0010244401	0.3751147193	True
w_comp_cor_237	WM	77.9118060008	0.0010233057	0.376138025	True
w_comp_cor_238	WM	77.8321709702	0.0010212149	0.3771592399	True
w_comp_cor_239	WM	77.7730530819	0.0010196642	0.3781789041	True
w_comp_cor_240	WM	77.6757890752	0.0010171153	0.3791960194	True
w_comp_cor_241	WM	77.6116327725	0.0010154359	0.3802114553	True
w_comp_cor_242	WM	77.5943079795	0.0010149826	0.3812264378	True
w_comp_cor_243	WM	77.4369313268	0.0010108696	0.3822373074	True
